week_start,price,units_sold,on_promotion,week_of_year
2024-01-01,29.99,507,0,1
2024-01-08,31.99,484,0,2
2024-01-15,26.99,726,1,3
2024-01-22,29.99,538,0,4
2024-01-29,29.99,539,0,5
2024-02-05,29.99,562,0,6
2024-02-12,29.99,632,0,7
2024-02-19,24.99,856,1,8
2024-02-26,26.99,711,1,9
2024-03-04,26.99,773,1,10
2024-03-11,29.99,626,0,11
2024-03-18,31.99,593,0,12
2024-03-25,24.99,825,1,13
2024-04-01,29.99,610,0,14
2024-04-08,29.99,604,0,15
2024-04-15,29.99,554,0,16
2024-04-22,29.99,623,0,17
2024-04-29,29.99,614,0,18
2024-05-06,29.99,594,0,19
2024-05-13,29.99,573,0,20
2024-05-20,26.99,622,1,21
2024-05-27,29.99,542,0,22
2024-06-03,29.99,531,0,23
2024-06-10,29.99,500,0,24
2024-06-17,29.99,509,0,25
2024-06-24,26.99,622,1,26
2024-07-01,29.99,549,0,27
2024-07-08,29.99,476,0,28
2024-07-15,29.99,464,0,29
2024-07-22,29.99,440,0,30
2024-07-29,26.99,449,1,31
2024-08-05,29.99,416,0,32
2024-08-12,29.99,408,0,33
2024-08-19,31.99,415,0,34
2024-08-26,31.99,342,0,35
2024-09-02,24.99,543,1,36
2024-09-09,29.99,378,0,37
2024-09-16,29.99,345,0,38
2024-09-23,26.99,490,1,39
2024-09-30,29.99,396,0,40
2024-10-07,29.99,400,0,41
2024-10-14,29.99,359,0,42
2024-10-21,29.99,428,0,43
2024-10-28,31.99,319,0,44
2024-11-04,29.99,423,0,45
2024-11-11,26.99,814,1,46
2024-11-18,29.99,559,0,47
2024-11-25,29.99,594,0,48
2024-12-02,29.99,459,0,49
2024-12-09,29.99,454,0,50
2024-12-16,31.99,385,0,51
2024-12-23,26.99,607,1,52
2024-12-30,31.99,424,0,1
2025-01-06,24.99,760,1,2
2025-01-13,29.99,509,0,3
2025-01-20,31.99,551,0,4
2025-01-27,29.99,540,0,5
2025-02-03,29.99,570,0,6
2025-02-10,29.99,627,0,7
2025-02-17,29.99,551,0,8
2025-02-24,29.99,620,0,9
2025-03-03,29.99,673,0,10
2025-03-10,24.99,766,1,11
2025-03-17,29.99,632,0,12
2025-03-24,29.99,636,0,13
2025-03-31,29.99,658,0,14
2025-04-07,29.99,568,0,15
2025-04-14,24.99,777,1,16
2025-04-21,29.99,633,0,17
2025-04-28,31.99,548,0,18
2025-05-05,26.99,730,1,19
2025-05-12,29.99,597,0,20
2025-05-19,29.99,544,0,21
2025-05-26,24.99,788,1,22
2025-06-02,26.99,672,1,23
2025-06-09,26.99,609,1,24
2025-06-16,26.99,704,1,25
2025-06-23,29.99,517,0,26
2025-06-30,29.99,444,0,27
2025-07-07,29.99,492,0,28
2025-07-14,24.99,590,1,29
2025-07-21,26.99,564,1,30
2025-07-28,29.99,464,0,31
2025-08-04,29.99,393,0,32
2025-08-11,29.99,434,0,33
2025-08-18,29.99,409,0,34
2025-08-25,26.99,498,1,35
2025-09-01,26.99,525,1,36
2025-09-08,24.99,517,1,37
2025-09-15,29.99,356,0,38
2025-09-22,29.99,352,0,39
2025-09-29,26.99,428,1,40
2025-10-06,26.99,455,1,41
2025-10-13,29.99,392,0,42
2025-10-20,26.99,480,1,43
2025-10-27,29.99,420,0,44
2025-11-03,29.99,407,0,45
2025-11-10,29.99,643,0,46
2025-11-17,29.99,589,0,47
2025-11-24,29.99,736,0,48
2025-12-01,29.99,476,0,49
2025-12-08,26.99,534,1,50
2025-12-15,29.99,449,0,51
2025-12-22,29.99,517,0,52
